case_id	reference	visual_status	behavior_status
0	automations/about-automations.png	OPEN	OPEN
1	automations/automations-empty.png	OPEN	OPEN
2	automations/model-picker.png	OPEN	OPEN
3	automations/new-automation-dialog.png	OPEN	OPEN
4	automations/new-automation-filled.png	OPEN	OPEN
5	automations/permissions-menu.png	OPEN	OPEN
6	automations/run-mode-menu.png	OPEN	OPEN
7	automations/schedule-menu.png	OPEN	OPEN
8	automations/target-menu.png	OPEN	OPEN
9	automations/template-menu.png	OPEN	OPEN
10	automations/workspace-mode-menu.png	OPEN	OPEN
11	dark-theme/appearance-dark.png	OPEN	OPEN
12	dark-theme/automations-dark.png	OPEN	OPEN
13	dark-theme/create-project-dark.png	OPEN	OPEN
14	dark-theme/home-dark.png	OPEN	OPEN
15	dark-theme/kanban-dark.png	OPEN	OPEN
16	dark-theme/project-home-dark.png	OPEN	OPEN
17	dark-theme/pull-requests-dark.png	OPEN	OPEN
18	home-and-shell/activity-view.png	OPEN	OPEN
19	home-and-shell/add-project-dialog.png	OPEN	OPEN
20	home-and-shell/chat-sort-menu.png	OPEN	OPEN
21	home-and-shell/composer-extras-menu.png	OPEN	OPEN
22	home-and-shell/environment-panel-closed.png	OPEN	OPEN
23	home-and-shell/environment-panel-open.png	OPEN	OPEN
24	home-and-shell/environment-panel-sections-menu.png	OPEN	OPEN
25	home-and-shell/global-search.png	OPEN	OPEN
26	home-and-shell/help-menu.png	OPEN	OPEN
27	home-and-shell/home-base.png	OPEN	OPEN
28	home-and-shell/home-import-banner.png	OPEN	OPEN
29	home-and-shell/import-projects-modal.png	OPEN	OPEN
30	home-and-shell/permission-picker.png	OPEN	OPEN
31	home-and-shell/project-sort-menu.png	OPEN	OPEN
32	home-and-shell/right-sidebar-toggled.png	OPEN	OPEN
33	home-and-shell/sidebar-collapsed.png	OPEN	OPEN
34	home-and-shell/sidebar-expanded.png	OPEN	OPEN
35	home-and-shell/sidebar-surface-switcher.png	OPEN	OPEN
36	home-and-shell/work-in-project-picker.png	OPEN	OPEN
37	kanban/kanban-empty.png	OPEN	OPEN
38	kanban/kanban-with-draft-task.png	OPEN	OPEN
39	kanban/new-task-dialog.png	OPEN	OPEN
40	kanban/new-task-effort-menu.png	OPEN	OPEN
41	kanban/new-task-filled-draft.png	OPEN	OPEN
42	kanban/new-task-model-picker.png	OPEN	OPEN
43	kanban/new-task-options.png	OPEN	OPEN
44	kanban/new-task-permission-menu.png	OPEN	OPEN
45	nav-and-tools/automations.png	OPEN	OPEN
46	nav-and-tools/browser-panel.png	OPEN	OPEN
47	nav-and-tools/editor-view.png	OPEN	OPEN
48	nav-and-tools/files-panel.png	OPEN	OPEN
49	nav-and-tools/kanban.png	OPEN	OPEN
50	nav-and-tools/local-servers-expanded.png	OPEN	OPEN
51	nav-and-tools/open-in-files-menu.png	OPEN	OPEN
52	nav-and-tools/pull-requests.png	OPEN	OPEN
53	nav-and-tools/side-chats-panel.png	OPEN	OPEN
54	nav-and-tools/terminal-panel.png	OPEN	OPEN
55	panels/browser-add-panel-menu.png	OPEN	OPEN
56	panels/browser-back.png	OPEN	OPEN
57	panels/browser-forward.png	OPEN	OPEN
58	panels/browser-maximized.png	OPEN	OPEN
59	panels/browser-panel-base.png	OPEN	OPEN
60	panels/diff-add-panel-menu.png	OPEN	OPEN
61	panels/diff-file-actions-readme.png	OPEN	OPEN
62	panels/diff-file-tree.png	OPEN	OPEN
63	panels/diff-jump-to-file.png	OPEN	OPEN
64	panels/diff-maximized.png	OPEN	OPEN
65	panels/diff-panel-base.png	OPEN	OPEN
66	panels/diff-source-menu.png	OPEN	OPEN
67	panels/diff-turn-selector.png	OPEN	OPEN
68	panels/diff-view-options.png	OPEN	OPEN
69	panels/files-add-panel-menu.png	OPEN	OPEN
70	panels/files-maximized.png	OPEN	OPEN
71	panels/files-panel-base.png	OPEN	OPEN
72	panels/side-chats-add-panel-menu.png	OPEN	OPEN
73	panels/side-chats-panel-base.png	OPEN	OPEN
74	panels/source-control-add-panel-menu.png	OPEN	OPEN
75	panels/source-control-git-action-options.png	OPEN	OPEN
76	panels/source-control-panel-base.png	OPEN	OPEN
77	panels/terminal-add-panel-menu.png	OPEN	OPEN
78	panels/terminal-maximized.png	OPEN	OPEN
79	panels/terminal-panel-base.png	OPEN	OPEN
80	project-creation/create-project-folder-empty.png	OPEN	OPEN
81	project-creation/create-project-folder-filled.png	OPEN	OPEN
82	project-creation/create-project-github-tab.png	OPEN	OPEN
83	project-creation/create-project-new-space-popover.png	OPEN	OPEN
84	project-creation/project-created-home.png	OPEN	OPEN
85	project-features/browser-panel.png	OPEN	OPEN
86	project-features/changes-summary-open.png	OPEN	OPEN
87	project-features/composer-branch-menu.png	OPEN	OPEN
88	project-features/composer-extras-menu.png	OPEN	OPEN
89	project-features/composer-project-selector.png	OPEN	OPEN
90	project-features/composer-workspace-mode-menu.png	OPEN	OPEN
91	project-features/editor-view.png	OPEN	OPEN
92	project-features/environment-branch-menu.png	OPEN	OPEN
93	project-features/environment-local-menu.png	OPEN	OPEN
94	project-features/environment-sections-menu.png	OPEN	OPEN
95	project-features/git-action-options.png	OPEN	OPEN
96	project-features/local-servers-expanded.png	OPEN	OPEN
97	project-features/open-in-files-menu.png	OPEN	OPEN
98	project-features/permission-menu.png	OPEN	OPEN
99	project-features/project-home-base.png	OPEN	OPEN
100	project-features/review-panel.png	OPEN	OPEN
101	project-features/temporary-chat-after-toggle.png	OPEN	OPEN
102	project-features/temporary-chat-before.png	OPEN	OPEN
103	project-features/terminal-panel.png	OPEN	OPEN
104	pull-requests/pr-all-closed.png	OPEN	OPEN
105	pull-requests/pr-all-merged.png	OPEN	OPEN
106	pull-requests/pr-all-open.png	OPEN	OPEN
107	pull-requests/pr-authored-open.png	OPEN	OPEN
108	pull-requests/pr-project-filter-menu.png	OPEN	OPEN
109	pull-requests/pr-reviewing-open.png	OPEN	OPEN
110	pull-requests/pr-search-demo.png	OPEN	OPEN
111	settings/agent-providers-bottom.png	OPEN	OPEN
112	settings/agent-providers-middle.png	OPEN	OPEN
113	settings/agent-providers-top.png	OPEN	OPEN
114	settings/agent-skills-top.png	OPEN	OPEN
115	settings/appearance-bottom.png	OPEN	OPEN
116	settings/appearance-middle.png	OPEN	OPEN
117	settings/appearance-top.png	OPEN	OPEN
118	settings/appsnap-top.png	OPEN	OPEN
119	settings/archived-threads-top.png	OPEN	OPEN
120	settings/chat-behavior-bottom.png	OPEN	OPEN
121	settings/chat-behavior-top.png	OPEN	OPEN
122	settings/computer-use-top.png	OPEN	OPEN
123	settings/general-bottom.png	OPEN	OPEN
124	settings/general-middle.png	OPEN	OPEN
125	settings/general-top.png	OPEN	OPEN
126	settings/keybindings-bottom.png	OPEN	OPEN
127	settings/keybindings-middle.png	OPEN	OPEN
128	settings/keybindings-top.png	OPEN	OPEN
129	settings/managed-worktrees-top.png	OPEN	OPEN
130	settings/mcp-connections-top.png	OPEN	OPEN
131	settings/models-writing-top.png	OPEN	OPEN
132	settings/notifications-top.png	OPEN	OPEN
133	settings/profile-bottom.png	OPEN	OPEN
134	settings/profile-top.png	OPEN	OPEN
135	settings/system-tools-top.png	OPEN	OPEN
136	settings/usage-limits-bottom.png	OPEN	OPEN
137	settings/usage-limits-middle.png	OPEN	OPEN
138	settings/usage-limits-top.png	OPEN	OPEN
139	welcome-tour/step-01.png	OPEN	OPEN
140	welcome-tour/step-02.png	OPEN	OPEN
141	welcome-tour-full/step-02-agent-gateway.png	OPEN	OPEN
